date,invested,portfolio_value,benchmark_value
2019-04-11,13608.0643613207,19377.22347858587,17292.97612022554
2019-04-12,13608.0643613207,19504.613143674807,17409.01623084088
2019-04-15,13608.0643613207,19533.353150098304,17398.447328965747
2019-04-16,13608.0643613207,19641.108775706794,17407.27959800164
2019-04-17,13608.0643613207,19701.466578664906,17369.468364820197
2019-04-18,13608.0643613207,19714.421101200085,17397.310039109758
2019-04-19,13608.0643613207,19714.471573658368,17397.310039109758
2019-04-22,13608.0643613207,19897.575735308805,17415.363419214562
2019-04-23,13633.91436170217,20233.740909751657,17596.051486596923
2019-04-24,13633.91436170217,20055.206930739405,17557.524376742564
2019-04-25,13633.91436170217,20145.10151312058,17551.049269135845
2019-04-26,13633.91436170217,20364.909177392692,17633.829047481217
2019-04-29,13633.91436170217,20468.432307229374,17653.526667388138
2019-04-30,13633.91436170217,19879.251130100267,17670.797036919306
2019-05-01,13633.91436170217,19719.11049340192,17538.396238377347
2019-05-02,13633.91436170217,19605.960300064213,17501.8484062721
2019-05-03,13633.91436170217,20018.28512471203,17672.265391639983
2019-05-06,13633.91436170217,19926.987642287648,17594.7631993046
2019-05-07,13633.91436170217,19617.57660622645,17304.356892285956
2019-05-08,13633.91436170217,19526.248404961756,17277.043737726053
2019-05-09,13633.91436170217,19420.28927885675,17230.871813962076
2019-05-10,13633.91436170217,19474.48460839275,17300.909259816184
2019-05-13,13671.01436017629,18865.131426075073,16921.17072919649
2019-05-14,13671.01436017629,18943.529943611935,17058.759902631704
2019-05-15,13671.01436017629,19356.104008790106,17161.794060895492
2019-05-16,13671.01436017629,19585.40919613469,17319.424908381396
2019-05-17,13671.01436017629,19298.2389868273,17220.086575661804
2019-05-20,13671.01436017629,19018.76010452102,17104.13096620004
2019-05-21,13671.01436017629,19141.90744062291,17249.893797478322
2019-05-22,13671.01436017629,19094.898656219677,17201.516482802388
2019-05-23,13671.01436017629,18783.949191582993,16998.36345224397
2019-05-24,13671.01436017629,18773.98896082469,17023.90411563155
2019-05-27,13671.01436017629,18774.071043716656,17023.90411563155
2019-05-28,13764.51436017629,18904.905527364583,16974.917496516882
2019-05-29,13764.51436017629,18700.567360667083,16858.077701170252
2019-05-30,13764.51436017629,18713.58343339385,16895.726030493977
2019-05-31,13764.51436017629,18404.017073717394,16676.06774635239
2019-06-03,13764.51436017629,17667.83808680388,16630.080988511185
2019-06-04,13764.51436017629,18122.6716426337,16987.39563317663
2019-06-05,13764.51436017629,18190.612929654515,17128.133907566924
2019-06-06,13764.51436017629,18303.14274026277,17237.902562098923
2019-06-07,13764.51436017629,18678.05056733207,17420.517392304642
2019-06-10,13764.51436017629,18935.87667952739,17501.793465456933
2019-06-11,13764.51436017629,18969.572077206605,17496.56645692234
2019-06-12,13764.51436017629,18893.555324288976,17461.185672650186
2019-06-13,13764.51436017629,19064.40395448562,17537.959112427485
2019-06-14,13764.51436017629,19004.258975187196,17512.06601990973
2019-06-17,13764.51436017629,19188.410985693077,17528.502402095382
2019-06-18,13864.154359565939,19463.766140915814,17799.00494549643
2019-06-19,13864.154359565939,19563.639421262284,17852.17757007685
2019-06-20,13864.154359565939,19707.720554204192,18022.967921540283
2019-06-21,13864.154359565939,19752.253097315297,18001.333903358598
2019-06-24,13901.154359565939,19738.73188181223,18007.18993753292
2019-06-25,13901.154359565939,19343.228111714816,17836.1995745585
2019-06-26,13901.154359565939,19376.50978916987,17814.186512857854
2019-06-27,13901.154359565939,19444.035717630515,17884.975595449745
2019-06-28,13901.154359565939,19488.36233913346,17988.79988058437
2019-07-01,13901.154359565939,19747.518962706425,18126.967634237055
2019-07-02,13901.154359565939,19885.546822325778,18180.737365822737
2019-07-03,13901.154359565939,20026.040732222435,18216.085820476375
2019-07-04,13901.154359565939,20026.066881271134,18216.085820476375
2019-07-05,13901.154359565939,20080.268763314893,18293.451912926022
2019-07-08,13901.154359565939,19922.812348462656,18205.24653953767
2019-07-09,13901.154359565939,20119.391407092462,18233.075438164968
2019-07-10,13901.154359565939,20349.31228551771,18315.52592792779
2019-07-11,13901.154359565939,20307.068545268517,18357.45139243918
2019-07-12,13901.154359565939,20392.889714732697,18444.042246680725
2019-07-15,13901.154359565939,20469.11194640814,18447.26979830847
2019-07-16,13901.154359565939,20421.67005198461,18385.066211179615
2019-07-17,13901.154359565939,20280.108080600483,18265.257294491978
2019-07-18,13901.154359565939,20174.957758215303,18332.545278934012
2019-07-19,13901.154359565939,19985.768788966918,18220.044811717602
2019-07-22,13901.154359565939,20157.757679789454,18272.046897570723
2019-07-23,13901.154359565939,20256.14103048321,18397.488791281638
2019-07-24,13901.154359565939,20321.33759411317,18484.475098647545
2019-07-25,13901.154359565939,20169.254415820476,18387.28877667178
2019-07-26,13901.154359565939,20737.506910800854,18523.35587143454
2019-07-29,13901.154359565939,20540.869675538597,18493.487267218447
2019-07-30,13901.154359565939,20396.728459581725,18447.665251432838
2019-07-31,13901.154359565939,20183.77570399959,18247.354863952412
2019-08-01,13901.154359565939,20051.724920830988,18084.95148310693
2019-08-02,13901.154359565939,19757.172150047165,17954.85186519069
2019-08-05,13901.154359565939,19099.078631848108,17421.116513906865
2019-08-06,14233.824342476095,19661.244700384097,17981.896049607116
2019-08-07,14233.824342476095,19744.553087460274,17996.16441078112
2019-08-08,14233.824342476095,20280.459676893042,18338.449066090907
2019-08-09,14233.824342476095,20035.95017824781,18219.98077177005
2019-08-12,14233.824342476095,19818.44380516421,17998.709086659284
2019-08-13,14233.824342476095,20197.419286443615,18271.754323074576
2019-08-14,14233.824342476095,19572.70896839385,17741.731660788984
2019-08-15,14233.824342476095,19655.53718480075,17788.85360517575
2019-08-16,14233.824342476095,19877.020362857784,18048.434779757106
2019-08-19,14233.824342476095,20154.21472632937,18267.938823945347
2019-08-20,14233.824342476095,19986.769032941633,18124.71446858118
2019-08-21,14233.824342476095,20155.329811976728,18274.948800114493
2019-08-22,14233.824342476095,20062.221975291697,18266.20147678329
2019-08-23,14233.824342476095,19477.43946461989,17792.388887020774
2019-08-26,15405.004304634298,20914.082825279544,19161.2023130072
2019-08-27,15405.004304634298,20877.926059594472,19099.91317147378
